,Q1,Q2,Q3,EN,SN,FN,F,SLOPE
0,0.9,0.9,0.81,0.25,0.1,0.03,0.0013,0.0
1,0.9,0.9,0.81,0.25,0.1,0.09,0.0015,1059.361788552612
2,0.9,0.9,2.5600000000000005,0.4,0.2,0.03,0.0013,0.0
3,0.9,1.1,0.81,0.4,0.2,0.03,0.0015,1059.361788552612
4,0.9,1.1,2.5600000000000005,0.25,0.2,0.09,0.0013,1059.361788552612
5,0.9,1.1,2.5600000000000005,0.4,0.1,0.09,0.0015,0.0
6,1.6,0.9,2.5600000000000005,0.4,0.1,0.03,0.0015,1059.361788552612
7,1.6,0.9,2.5600000000000005,0.25,0.2,0.09,0.0015,0.0
8,1.6,0.9,0.81,0.4,0.2,0.09,0.0013,1059.361788552612
9,1.6,1.1,2.5600000000000005,0.25,0.1,0.03,0.0013,1059.361788552612
10,1.6,1.1,0.81,0.4,0.1,0.09,0.0013,0.0
11,1.6,1.1,0.81,0.25,0.2,0.03,0.0015,0.0
