JOB_NUM,Q1,Q2,Q3,EN,SN,FN,F,SLOPE,MAPE,ROC_BEGIN,ROC_THREE,KAPPA,SIM_TIME
1,0.9,0.9,0.81,0.25,0.1,0.03,0.0013,0.0,19.143260450940883,,,2.5,80.74168634414673
2,0.9,0.9,0.81,0.25,0.1,0.09,0.0015,1059.361788552612,6.549815185454979,,,2.5,48.291414976119995
3,0.9,0.9,2.5600000000000005,0.4,0.2,0.03,0.0013,0.0,15.938142137113905,,,2.5,57.95539999008179
4,0.9,1.1,0.81,0.4,0.2,0.03,0.0015,1059.361788552612,7.262570385933653,,,2.5,23.387916803359985
5,0.9,1.1,2.5600000000000005,0.25,0.2,0.09,0.0013,1059.361788552612,6.668206393147095,,,2.5,24.199580192565918
6,0.9,1.1,2.5600000000000005,0.4,0.1,0.09,0.0015,0.0,5.9318457862182115,,,2.5,35.80764436721802
7,1.6,0.9,2.5600000000000005,0.4,0.1,0.03,0.0015,1059.361788552612,7.340932591226424,,,2.5,23.1616051197052
8,1.6,0.9,2.5600000000000005,0.25,0.2,0.09,0.0015,0.0,9.633451701199046,,,2.5,56.74833846092224
9,1.6,0.9,0.81,0.4,0.2,0.09,0.0013,1059.361788552612,6.686357911263537,,,2.5,24.817402601242065
10,1.6,1.1,2.5600000000000005,0.25,0.1,0.03,0.0013,1059.361788552612,6.785253231792276,,,2.5,22.421406507492065
11,1.6,1.1,0.81,0.4,0.1,0.09,0.0013,0.0,6.040609134798893,,,2.5,40.409462213516235
12,1.6,1.1,0.81,0.25,0.2,0.03,0.0015,0.0,8.160108665559811,,,2.5,60.088154315948486
